property_id,source_agency,feed_date,sold_let_date,transaction_type,listing_status,address,area,borough,postcode,property_type,tenure,bedrooms,bathrooms,sqft,price,price_per_sqft,condition,epc_rating,heating_type,garden,parking,floor_level,days_on_market,agent_id,is_chain_free,longitude,latitude
JLL-20250107-001,JLL Residential,2025-01-07,2025-03-06,Sale,Sold,"112 Park Lane, Brixton, London SW9 8D5",Brixton,Lambeth,SW9 8D5,Maisonette,Freehold,5,4,765,935000,1222.22,Excellent,C,Heat Pump,No,No,19,58,AGT-997,Yes,-0.201584,51.306912
JLL-20250107-002,JLL Residential,2025-01-07,2025-05-16,Rental,Active,"157 Victoria Road, Richmond, London TW9 4N2",Richmond,Richmond upon Thames,TW9 4N2,Semi-Detached,N/A,3,4,1777,3686,2.07,Fair,E,Heat Pump,No,Permit Only,0,129,AGT-604,Yes,-0.340669,51.352753
JLL-20250107-003,JLL Residential,2025-01-07,2025-01-24,Rental,Active,"110 The Avenue, Tottenham, London N17 5P9",Tottenham,Haringey,N17 5P9,Flat,N/A,2,2,2299,1691,0.74,Excellent,A,Heat Pump,Yes,Permit Only,20,17,AGT-572,No,-0.454445,51.563544
JLL-20250107-004,JLL Residential,2025-01-07,,Sale,Withdrawn,"54 Church Road, Croydon, London CR0 9H1",Croydon,Croydon,CR0 9H1,Penthouse,Shared Ownership,5,3,1686,1002000,594.31,Good,A,Heat Pump,Yes,No,14,14,AGT-626,No,0.066454,51.666302
JLL-20250107-005,JLL Residential,2025-01-07,,Rental,Under Offer,"85 The Avenue, Brixton, London SW9 2G8",Brixton,Lambeth,SW9 2G8,Maisonette,N/A,2,2,2500,2691,1.08,New Build,F,Underfloor,No,No,4,137,AGT-209,No,0.157862,51.379738
JLL-20250107-006,JLL Residential,2025-01-07,2025-03-28,Sale,Let Agreed,"229 Green Lane, Richmond, London TW9 1E3",Richmond,Richmond upon Thames,TW9 1E3,Detached,Shared Ownership,2,2,1217,1709000,1404.27,New Build,G,Heat Pump,No,Yes,0,80,AGT-374,Yes,0.293676,51.427699
JLL-20250107-007,JLL Residential,2025-01-07,2025-03-06,Sale,Under Offer,"248 The Avenue, Clapham, London SW4 6B3",Clapham,Lambeth,SW4 6B3,Detached,Leasehold,1,1,1258,1087000,864.07,Fair,E,Electric,Yes,No,0,58,AGT-971,No,-0.172943,51.367569
JLL-20250107-008,JLL Residential,2025-01-07,2025-05-20,Sale,Sold,"107 London Road, Croydon, London CR0 7K2",Croydon,Croydon,CR0 7K2,Penthouse,Leasehold,3,3,2485,1867000,751.31,Needs Renovation,D,Gas Central,No,No,10,133,AGT-692,No,-0.065383,51.515205
JLL-20250107-009,JLL Residential,2025-01-07,,Rental,Sold,"112 King Street, Richmond, London TW9 5C4",Richmond,Richmond upon Thames,TW9 5C4,Bungalow,N/A,3,1,2930,2806,0.96,Fair,C,Underfloor,No,Yes,0,139,AGT-807,Yes,0.054961,51.436418
JLL-20250107-010,JLL Residential,2025-01-07,2025-01-11,Rental,Withdrawn,"60 Church Road, Brixton, London SW9 2M1",Brixton,Lambeth,SW9 2M1,Terraced House,N/A,5,3,1479,3530,2.39,Excellent,C,None,No,Permit Only,0,4,AGT-933,No,-0.214991,51.463996
JLL-20250107-011,JLL Residential,2025-01-07,,Rental,Under Offer,"174 Station Road, Richmond, London TW9 2N8",Richmond,Richmond upon Thames,TW9 2N8,Flat,N/A,1,2,1141,1741,1.53,New Build,D,None,No,No,12,102,AGT-741,Yes,-0.331412,51.590633
JLL-20250107-012,JLL Residential,2025-01-07,,Sale,Under Offer,"188 Station Road, Brixton, London SW9 4G7",Brixton,Lambeth,SW9 4G7,Semi-Detached,Shared Ownership,1,2,857,1411000,1646.44,Fair,F,Heat Pump,No,Yes,0,78,AGT-345,No,-0.229534,51.642343
